Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,0,1.06129,0.601755,-2.16087,-3.30374,-2.84367,-3.91075,-2.77851,-3.94423,-3.80752,
1,0,0.948905,1.8579,-0.296784,-1.17439,0.24059,-0.892906,-0.0554944,-3.04182,-3.40158,
2,0,0.869409,3.73743,0.985822,0.335634,-0.605455,-1.23383,-0.868138,-2.5261,-0.674569,
3,0,-3.33002,-2.21334,-3.46519,-1.69428,0.466935,4.09072,0.742254,1.06863,0.751908,
4,0,-1.16115,-0.314585,2.34503,2.32394,1.31658,1.32807,0.195226,0.907487,1.38343,
5,0,1.92352,2.81025,2.71863,1.36301,1.8623,1.90348,1.04811,-0.839539,-2.13095,
6,0,-2.64347,-4.51523,-4.13247,-5.28908,-3.29308,-6.32058,-6.78966,-3.46366,-1.57808,
7,0,-1.72896,-4.45355,-5.67557,-4.83907,-3.24254,-3.18951,-0.72373,0.39596,1.0576,
8,0,3.73657,4.35881,1.19463,-0.308781,-2.47674,-3.49445,-2.215,-3.34903,-2.60734,
9,0,1.58473,-2.35713,-3.78374,-3.47805,1.62504,0.51227,-0.794418,-0.19046,-0.478798,
10,0,-3.543,-3.12365,-1.10275,-0.889965,-0.321885,0.206395,3.64869,4.24242,2.33202,
11,0,2.14088,-1.16342,-1.39432,-0.912327,-2.07488,-1.7474,0.0205613,-0.734718,0.791869,
12,0,-0.77671,0.26151,-1.57996,-1.33344,1.12967,2.04527,0.0703043,-0.194965,-0.145879,
13,0,0.61956,-0.96176,-1.08704,-1.78513,-2.96778,-1.82514,-2.90144,-3.09457,-1.45099,
14,0,0.393324,1.80453,-0.377866,-1.68124,-1.17988,0.0111787,-0.588307,-0.248617,-2.91149,
15,0,0.877471,-0.308689,1.44349,3.50479,2.87647,1.30847,1.12129,0.307594,0.875957,
16,0,-2.07371,0.85467,1.18397,0.752673,2.81878,2.48142,1.21476,0.111023,0.319802,
17,0,0.203772,-0.960729,-1.3165,0.17872,0.3309,0.515305,0.877502,1.68713,1.05323,
18,0,-1.43886,-3.21647,-4.21048,-3.52528,-4.32747,-5.94204,-5.27159,-5.67347,-2.17928,
19,0,0.76011,4.54666,3.86752,4.38049,4.20754,2.1654,0.758756,-0.184846,0.392139,
20,0,0.865813,2.1253,2.19384,3.66138,4.24788,1.43648,-0.248398,0.0574894,0.43004,
21,0,2.02515,2.75869,3.48399,2.0867,2.71413,2.83278,3.27104,0.982791,-0.949338,
22,0,0.809883,-2.44942,-2.67644,0.872119,3.23945,1.81879,3.64661,4.12983,4.00872,
23,0,-0.438473,0.0852573,-1.98751,-2.69863,-1.54915,-4.36809,-0.584117,-0.553181,0.328842,
24,0,-0.317418,-1.86835,-2.19935,-1.8776,-1.11998,-0.0601493,0.40382,1.29616,2.09551,
25,0,0.394709,1.18323,0.494735,0.760898,-0.0926737,0.958518,0.0225542,-0.140532,0.51877,
26,0,0.648589,0.850119,0.371873,-1.14563,0.0639928,0.591776,-0.886033,0.103546,-0.854271,
27,0,-0.379217,0.725322,0.720442,0.282563,-0.682433,0.117813,0.598502,0.101799,-1.38719,
28,0,0.0118367,-0.139692,0.307853,-0.695309,0.0369847,-0.453279,-1.26395,0.00793436,-0.264145,
29,0,0.130623,-0.448255,0.191412,-1.2231,-0.499899,-0.81674,-0.301633,-1.27251,-1.38634,
30,0,1.10335,-0.454173,-0.988135,-2.83888,-4.1381,-3.39431,-2.59564,-0.502711,0.83312,
31,0,-2.63766,-1.62297,0.0727974,-1.37048,-1.43293,0.407353,2.1194,2.33999,2.88557,
32,0,0.0217451,0.934468,-0.704107,-3.30237,-0.129207,0.544868,1.55515,2.24438,-0.607753,
33,0,-0.365303,-0.266772,0.698997,-0.392746,-1.05298,-0.18805,0.523147,0.286602,0.178023,
34,0,2.106,5.23892,4.6792,2.68437,0.973439,-0.982302,-2.53431,-1.94273,-1.31591,
35,0,1.11608,0.40159,-2.18602,-3.90599,-2.00426,-0.451212,-0.244011,2.34155,1.13562,
36,0,1.6426,1.20294,-0.940431,-2.86854,-3.74524,-2.94112,-3.6308,-1.89589,0.692007,
37,0,-2.19912,-4.60812,-4.97925,-1.61896,-0.356874,-2.46686,-1.44651,-1.46551,0.286414,
38,0,1.82456,3.57814,1.33782,1.28129,-0.221874,0.732017,-0.383371,-0.567853,-0.80493,
39,0,1.70499,0.545122,-0.313793,-1.80692,-4.35793,-3.93384,-4.93724,-2.81558,0.0115906,
40,0,2.27274,2.43401,2.54284,2.39729,1.54969,0.720909,-0.0507982,-1.60684,-1.67377,
41,0,-3.02706,-3.88291,-4.60806,-3.38595,-2.36293,-0.111363,1.12855,0.418916,0.0495206,
42,0,2.80927,3.78148,1.71549,0.544744,1.17301,1.43689,1.39618,2.33039,1.4117,
43,0,0.764559,1.69323,0.71796,0.378196,1.2881,1.23376,0.803112,1.00724,-0.664019,
44,0,-2.09382,-0.893633,-1.52219,-2.7545,-1.53928,-0.800747,-0.840965,1.29015,2.06825,
45,0,0.263652,0.468524,0.687395,-0.720428,-0.873732,-1.2317,-0.739575,-0.589256,1.5996,
46,0,0.412638,-1.71055,-1.74211,-2.51117,-2.86624,-2.28405,-1.60226,-0.818006,-0.0699195,
47,0,-1.01432,0.456252,0.780564,0.280887,-0.10554,-0.409572,0.0899497,2.04693,1.03485,
48,0,0.637285,2.02408,-0.215761,-2.04783,-1.82179,-1.19918,1.32663,2.03343,2.022,
49,0,-2.54016,-1.28399,0.631058,1.49206,2.1618,2.70158,3.01799,3.76581,3.27841,
