Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,21.1215,17.4398,15.0795,13.8586,13.2672,11.2105,9.67484,8.86895,13.0643,15.493,
1,21.2249,18.9451,15.7202,14.2243,16.0277,17.9272,16.8776,13.9421,15.1022,18.3629,
2,20.5856,18.7573,12.2023,15.8352,14.792,14.284,14.9298,15.5907,14.4104,18.0371,
3,24.6245,18.5384,16.5553,15.7785,11.6371,14.252,13.5426,12.6706,17.5831,19.8637,
4,21.0028,18.6456,17.0992,15.9266,15.7579,16.0483,16.1541,14.631,17.1646,14.9479,
5,21.9447,15.6053,12.2015,17.0888,15.6154,13.7392,14.4195,15.3475,16.3809,18.4241,
6,23.8132,19.0678,16.1479,17.5497,18.3129,15.2815,14.6556,14.7515,16.6459,18.1818,
7,19.4783,16.7605,16.7797,15.0829,13.8819,12.0061,12.849,13.6693,16.2746,17.2683,
8,22.313,15.2112,16.8378,15.2664,15.449,12.6823,11.2849,14.2376,15.6114,16.7396,
9,23.9103,16.7075,16.5831,14.8191,13.6879,14.3284,15.4116,18.0863,17.8022,20.7957,
10,22.9643,15.4769,15.5279,12.9821,16.0065,14.9218,15.5576,15.2107,13.8525,17.837,
11,24.6911,20.0639,15.0727,14.9897,15.2496,14.3372,12.851,14.8991,16.7938,17.5215,
12,22.4937,15.4039,14.0541,12.9346,11.9494,15.1651,14.0162,14.5384,14.9965,14.8629,
13,22.2148,15.6489,14.6228,16.3839,17.8912,16.1966,14.7903,16.088,15.4922,17.8679,
14,21.5003,16.5832,13.4539,12.9662,15.8653,15.8501,16.6595,16.7334,15.9644,16.8619,
15,22.4875,18.3407,15.9476,13.419,11.9033,12.1512,14.3407,13.301,14.685,17.3321,
16,23.6831,17.5133,15.8603,15.7989,16.6084,17.0147,15.5032,15.506,16.1774,18.2669,
17,25.873,17.9437,16.2694,15.1167,15.4364,14.2774,16.1387,17.7849,21.7725,22.1176,
18,25.1542,17.9739,17.5854,15.4271,13.7836,14.7702,14.4939,14.8837,15.8115,16.1135,
19,21.6238,18.6229,16.1478,17.6801,15.0655,17.1649,20.4976,19.6107,18.7207,19.2748,
20,26.0315,19.9928,16.4694,15.0307,17.2788,16.9453,17.5665,17.5613,18.121,19.7453,
21,21.5269,20.0203,15.8094,12.952,12.8168,15.9784,16.3938,15.057,13.0679,15.017,
22,22.3296,17.6289,12.1458,13.8244,16.7538,18.3967,16.0402,15.9183,13.2346,15.6446,
23,22.7342,18.8244,17.6997,13.6848,15.8566,15.7766,15.2514,15.6894,17.3602,21.3288,
24,13.7772,8.87699,7.44841,8.64748,6.1161,5.34156,7.86164,9.0694,8.70926,10.8438,
25,13.1157,7.89931,7.02602,7.50251,6.48759,5.32044,5.34412,4.10682,5.39246,8.48907,
26,12.2137,8.3237,6.34158,5.0867,4.84184,4.61829,5.45435,5.84411,5.6898,6.70616,
27,13.5399,8.49695,7.01586,6.15732,6.60814,6.71032,5.83082,7.15435,7.70797,9.17408,
28,10.8418,6.29391,5.71621,6.16889,5.92416,6.18708,7.18349,7.32631,8.7881,8.46867,
29,12.6341,7.93076,7.38646,7.27143,5.41697,5.35044,5.26716,6.06059,6.49639,7.03266,
30,14.9767,10.144,6.76421,5.94736,8.39244,8.92981,7.49258,8.40159,8.06711,7.92723,
31,19.1919,13.8197,14.5173,15.0921,15.1686,15.4623,14.9509,16.8191,14.893,14.0924,
32,20.9581,17.0579,16.8904,17.0948,15.6556,13.0382,12.1692,13.9129,14.1726,17.8142,
33,20.3251,14.0305,13.9787,14.4854,15.6018,13.726,12.0143,12.9577,13.0769,15.8823,
34,22.1873,17.0017,15.0614,14.3357,16.6219,17.0283,15.7535,16.1688,17.62,17.6238,
35,22.6183,15.802,15.037,14.1795,14.6113,14.0109,14.9995,13.9098,14.4898,17.4795,
36,24.0619,14.3631,9.44335,9.282,9.28114,13.5904,13.1394,13.3367,16.415,18.9372,
37,22.2824,15.3353,11.6029,11.4191,9.58031,12.8807,15.7373,17.7074,16.324,20.3353,
38,19.9715,13.9716,14.8182,10.6514,9.3725,12.471,15.4828,17.1728,18.642,19.2487,
39,19.07,14.9806,13.5998,13.5818,16.615,15.7241,17.8065,16.7353,15.7861,15.6672,
40,17.4866,14.2343,14.7616,12.0784,10.2649,10.2732,10.2955,10.1185,11.1456,12.0463,
41,22.56,15.7109,13.0583,9.65647,9.94422,8.42745,6.875,9.07974,10.8517,15.6954,
42,21.0199,20.6224,15.5071,10.8238,11.2081,9.18322,8.04036,8.87588,11.9786,13.7406,
43,22.7229,18.2043,15.8555,12.2289,13.1064,9.07016,10.2654,12.3311,13.4196,15.7123,
44,23.2622,20.0691,16.4962,16.1113,15.2849,13.5882,14.1887,13.9426,15.3735,17.2904,
45,19.5176,16.5799,14.0098,16.6258,15.2661,12.8439,13.517,14.3654,12.6953,12.3632,
46,19.6116,14.5222,12.0599,11.9007,15.6832,14.5488,13.3145,12.8448,14.067,16.0986,
47,22.4715,17.3875,17.5245,17.5541,14.2406,15.0115,18.2994,16.6635,17.1811,18.5771,
48,23.9712,18.3367,17.0885,16.3236,12.6802,13.1113,13.1375,13.718,13.7487,17.6142,
49,23.413,19.4583,14.8126,13.0118,13.7106,13.1581,12.3966,16.9536,17.3934,20.0646,
