Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,1.29874,0.022614,-0.22829,-0.226244,-0.0840423,0.0795046,-0.000434272,-0.357073,-0.100785,0.163105,
1,0.97469,0.00727151,0.108871,-0.114116,-0.0534571,0.0746021,0.0130291,0.0074845,-0.0524122,-0.0168624,
2,0.957445,0.00838511,-0.216567,-0.127674,0.106065,0.170704,-0.0139195,-0.0530839,-0.00581043,0.0491816,
3,0.985538,-0.0272201,-0.104408,0.0580124,0.0948785,0.226119,0.158295,0.222995,-0.00101908,0.0603369,
4,2.34858,0.134791,0.0178404,0.187227,-0.0139169,-0.137986,-0.292393,0.0183218,-0.0285893,0.49016,
5,1.12436,-0.0172597,0.026139,-0.0280269,-0.000687363,-0.0513346,0.11734,-0.0220863,0.00349016,0.00143674,
6,1.07749,0.16391,0.0162691,0.0109387,0.0545791,-0.0281852,-0.0333235,0.0269909,0.0325749,0.22729,
7,1.11196,-0.0349315,-0.0200921,-0.0379379,0.0457183,-0.0719095,0.0258023,-0.0652357,0.0457209,-0.0166091,
8,1.05665,0.0890409,0.101901,0.0256184,-0.0220374,-0.0176453,-0.0240859,0.0863398,-0.0826543,-0.0659827,
9,1.22291,0.00710158,0.0353563,0.0524338,-0.0537426,-0.0270639,-0.016501,-0.116824,-0.0988322,0.0352606,
10,0.876852,0.0308976,-0.0225017,-0.0815453,0.0707082,-0.0393482,-0.0439547,-0.0353424,0.0683032,-0.00956503,
11,0.959347,0.0606386,0.0137353,-0.0908065,0.0790691,-0.0312307,0.0766894,0.040444,-0.0472819,-7.68549e-05,
12,1.20995,-0.00346605,-0.0983636,0.0613677,0.055127,0.0535744,0.104912,-0.0155691,0.101582,0.229894,
13,0.933405,-0.0104976,0.0711985,-0.00782552,0.0410408,-0.0553902,-0.0378501,-0.101737,-0.0644006,-0.00208215,
14,1.08495,-0.00566976,-0.0321072,0.0185048,-0.0634943,-0.0136314,-0.0542203,0.0147679,-0.0836658,0.424275,
15,1.10929,0.0134616,-0.0299695,-0.02482,-0.0643159,-0.0104663,0.0591586,0.0816864,0.0165926,0.0607951,
16,1.2237,0.0542458,-0.094442,0.0465588,0.0559628,-0.0562383,0.10059,0.139711,-0.0148656,0.128277,
17,1.17322,0.176138,0.114147,-0.0284507,0.0341983,-0.130155,0.0304949,0.0158269,0.114035,0.0950873,
18,1.12855,-0.0156807,0.0753063,-0.0926869,-0.00769229,-0.126638,-0.0152641,0.0544492,0.0483273,-0.0610322,
19,1.12697,0.0213843,0.0763067,0.051995,-0.0242834,0.0470732,-0.0174779,-0.140548,0.0572343,0.0177374,
20,1.34449,-0.0806899,-0.0683782,0.0596196,-0.0842201,0.124581,0.0960267,-0.0206891,0.0683916,0.0664115,
21,1.01943,0.128424,-0.0109183,0.0422837,0.114435,0.0185488,0.0255784,0.0181329,0.0241228,0.171881,
22,1.90063,-0.0519896,-0.0102664,0.00914099,-0.0179865,-0.0669095,-0.0689035,0.0261836,0.0880484,1.02905,
23,1.85032,0.0367513,0.0710256,0.0901755,-0.035214,0.034599,-0.0198564,0.0268051,0.046743,0.0472985,
24,18.0334,16.5708,16.7007,16.4656,17.1332,16.6817,14.0296,12.2392,14.1749,16.1323,
25,27.6845,26.4287,25.9787,25.477,25.5077,26.22,26.1322,26.1369,25.4467,25.4477,
26,26.7963,25.8067,25.739,25.4236,25.4783,25.1732,25.7041,25.3943,25.2853,25.3384,
27,27.576,26.5907,26.1815,25.9375,26.4482,25.2266,27.2936,25.7765,25.8696,25.6046,
28,25.6976,25.1757,24.8318,25.0669,25.3345,25.3775,25.1276,25.2617,25.7568,24.9109,
29,27.9826,25.5581,25.4903,25.9945,26.1299,26.4224,25.3125,25.8295,24.7534,25.6068,
30,17.3347,12.2812,8.91814,9.47909,10.9878,9.94819,8.99042,10.7477,13.0769,15.5391,
31,5.03434,0.560932,0.212413,-0.038826,0.0651498,0.286979,0.787952,0.65398,0.160778,2.4899,
32,0.824812,0.0470574,-0.0293844,-0.1215,0.0712862,-0.00557976,0.150468,0.0541126,0.0559716,0.0281562,
33,1.30085,-0.0815777,0.149897,0.100195,0.0379084,0.0672244,-0.0143262,0.0146174,0.0790666,0.0952991,
34,2.21055,0.18624,0.0481951,-0.0993373,0.0314971,-0.077485,0.0875066,-0.141913,-0.0700481,-0.119256,
35,0.952343,-0.0681346,-0.0688888,0.0449222,0.0579321,-0.124615,-0.138015,0.043447,-0.0513855,0.0032044,
36,1.09395,-0.0264285,-0.249733,-0.107276,-0.0778253,0.072244,0.203843,0.0752752,-0.0525878,0.0409663,
37,4.48533,2.52612,2.35268,1.74497,0.350653,-0.440352,0.130642,-0.079773,0.0903009,0.267539,
38,0.992534,0.350333,0.296268,0.350414,0.0688134,-0.0393864,-0.000571533,0.0248297,-0.126311,-0.0547087,
39,0.902957,0.0601224,0.094024,0.0652319,0.0168432,0.0823012,-0.0506287,0.0575142,0.0866074,0.0804198,
40,11.2606,6.00065,3.45813,0.765104,3.53263,0.871338,0.281953,2.86485,6.62737,7.43505,
41,0.870045,-0.012202,0.126159,0.0344755,0.45139,0.503616,0.603123,0.561088,0.362575,0.027552,
42,3.00521,0.0656926,0.180936,-0.067226,-0.133593,-0.182979,0.0372147,-0.122572,0.301589,1.53959,
43,1.19303,0.0165265,0.0406395,0.0330249,-0.0523838,0.0676253,0.124483,0.183397,0.170708,0.317361,
44,1.19101,-0.155256,-0.101867,0.0102322,0.0725548,-0.0174876,-0.105567,-0.095871,0.0510686,0.198348,
