Sample #,value,
0,-0.83002,
1,-0.831786,
2,-0.828794,
3,-0.830791,
4,-0.830973,
5,-0.830942,
6,-0.83071,
7,-0.831647,
8,-0.830822,
9,-0.831782,
10,-0.830752,
11,-0.831956,
12,-0.82979,
13,-0.829631,
14,-0.830977,
15,-0.831055,
16,-0.830945,
17,-0.830618,
18,-0.831305,
19,-0.830301,
20,-0.832467,
21,-0.830728,
22,-0.830619,
23,-0.831425,
24,-0.828466,
25,-0.830131,
26,-0.831068,
27,-0.830438,
28,-0.82995,
29,-0.829124,
30,-0.827446,
31,-0.829833,
32,-0.831186,
33,-0.830801,
34,-0.830836,
35,-0.830626,
36,-0.828907,
37,-0.828389,
38,-0.828391,
39,-0.829529,
40,-0.827434,
41,-0.827671,
42,-0.827273,
43,-0.830001,
44,-0.831527,
45,-0.830504,
46,-0.829702,
47,-0.830606,
48,-0.830272,
49,-0.831789,
